skill,5k training dataset,KSB alumni external validation,abs_rate_difference
business strategy,0.013289795918367348,0.009565563969709047,0.003724231948658301
healthcare,0.004114285714285714,3.9856516540454366e-4,0.0037157205488811706
business analysis,0.007673469387755102,0.011159824631327222,0.00348635524357212
sql,0.008881632653061225,0.012355520127540853,0.0034738874744796276
sales management,0.0046693877551020405,0.0011956954962136308,0.0034736922588884094
training,0.008555102040816326,0.0051813471502590676,0.0033737548905572587
risk management,0.007248979591836735,0.0039856516540454365,0.0032633279377912985
account management,0.00643265306122449,0.0031885213232363493,0.0032441317379881406
internal controls,0.004016326530612245,7.971303308090873e-4,0.0032191961998031576
product management,0.005061224489795919,0.0019928258270227183,0.0030683986627732004
management consulting,0.004995918367346939,0.0019928258270227183,0.0030030925403242204
recruiting,0.004995918367346939,0.0019928258270227183,0.0030030925403242204
higher education,0.004571428571428572,0.0015942606616181746,0.0029771679098103973
project management,0.02886530612244898,0.025906735751295335,0.002958570371153643
digital marketing,0.005844897959183673,0.00876843363889996,0.0029235356797162864
inventory management,0.003983673469387755,0.0011956954962136308,0.0027879779731741243
team leadership,0.013355102040816327,0.010761259465922678,0.002593842574893649
coaching,0.004963265306122449,0.0023913909924272616,0.0025718743136951875
strategic partnerships,0.004048979591836734,0.0015942606616181746,0.00245471893021856
sales,0.0176,0.01514547628537266,0.002454523714627342
contract negotiation,0.004408163265306122,0.0019928258270227183,0.002415337438283404
powerpoint,0.011559183673469389,0.013949780789159028,0.0023905971156896397
public relations,0.005551020408163266,0.0031885213232363493,0.0023624990849269163
nonprofits,0.004342857142857143,0.0019928258270227183,0.002350031315834425
marketing,0.018644897959183674,0.01634117178158629,0.0023037261775973837
english,0.003689795918367347,0.005978477481068154,0.0022886815627008073
critical thinking,0.005387755102040816,0.0031885213232363493,0.0021992337788044668
operations management,0.009371428571428572,0.007174172977281785,0.002197255594146787
teaching,0.006530612244897959,0.00438421681944998,0.0021463954254479795
valuation,0.004897959183673469,0.0027899561578318055,0.0021080030258416637
forecasting,0.004473469387755102,0.0023913909924272616,0.0020820783953278406
supply chain management,0.004408163265306122,0.0023913909924272616,0.0020167722728788606
due diligence,0.005191836734693878,0.0031885213232363493,0.0020033154114575285
customer satisfaction,0.003983673469387755,0.0019928258270227183,0.001990847642365037
change management,0.005910204081632653,0.0039856516540454365,0.0019245524275872169
organization skills,0.007412244897959184,0.005579912315663611,0.0018323325822955728
asset management,0.003820408163265306,0.0019928258270227183,0.001827582336242588
business process improvement,0.005714285714285714,0.0039856516540454365,0.0017286340602402778
team management,0.004440816326530613,0.0027899561578318055,0.0016508601686988072
community outreach,0.005616326530612245,0.0039856516540454365,0.0016306748765668082
market research,0.007608163265306123,0.005978477481068154,0.0016296857842379685
interpersonal skills,0.005191836734693878,0.006775607811877242,0.0015837710771833642
business planning,0.004342857142857143,0.0027899561578318055,0.0015529009850253376
accounting,0.012310204081632654,0.010761259465922678,0.001548944615709976
financial reporting,0.007444897959183673,0.005978477481068154,0.001466420478115519
financial modeling,0.010612244897959184,0.009166998804304504,0.0014452460936546802
negotiation,0.007020408163265306,0.005579912315663611,0.0014404958476016954
advertising,0.005387755102040816,0.0039856516540454365,0.0014021034479953795
project planning,0.005387755102040816,0.0039856516540454365,0.0014021034479953795
statistics,0.004571428571428572,0.0031885213232363493,0.0013829072481922225
social media marketing,0.009012244897959184,0.010362694300518135,0.0013504494025589515
python (programming language),0.007053061224489796,0.008369868473495417,0.0013168072490056214
artificial intelligence (ai),0.0038857142857142857,0.0051813471502590676,0.0012956328645447818
corporate finance,0.00483265306122449,0.0035870864886408927,0.0012455665725835973
auditing,0.005942857142857143,0.004782781984854523,0.0011600751580026197
fundraising,0.005289795918367347,0.00438421681944998,9.055790989173675e-4
customer relationship management (crm),0.005485714285714286,0.006377042646472699,8.91328360758413e-4
presentations,0.004473469387755102,0.0035870864886408927,8.863828991142095e-4
management,0.02755918367346939,0.026703866082104424,8.553175913649652e-4
financial analysis,0.01910204081632653,0.018333997608609008,7.680432077175232e-4
analytics,0.004473469387755102,0.0051813471502590676,7.078777625039653e-4
presentation skills,0.004538775510204081,0.0051813471502590676,6.425716400549862e-4
business development,0.012538775510204082,0.011956954962136309,5.818205480677737e-4
financial accounting,0.0053551020408163265,0.005579912315663611,2.2481027484728446e-4
event management,0.004604081632653061,0.00438421681944998,2.1986481320308143e-4
